Sl.No,Offender Name,Alias,Age,Father/Husband Name,Address,FIR No,Police Station,Case Date,Section of Law,Days Outstanding,Severity
1,Ramesh Babu,ramesh_tpt-026_0,18,Ramesh Babu,"D.No 10-1, Near Junction, Puttur UPS, Tirupati District",TPT-026/2026/100,Puttur UPS,2026-01-10,Sec. 27 of NDPS Act,179,CRITICAL
2,Ganesh Nayak,ganesh_tpt-049_0,53,Balaji Nayak,"D.No 15-1, Near Junction, Tirumala Traffic, Tirupati District",TPT-049/2026/110,Tirumala Traffic,2026-01-10,Sec. 27 of NDPS Act,179,CRITICAL
3,Sudhakar Shankar,sudhakar_ex-ndp_0,43,Rajesh Shankar,"D.No 20-1, Near Junction, Excise PS NDP, Tirupati District",EX-NDP/2026/120,Excise PS NDP,2026-01-10,Sec. 27 of NDPS Act,179,CRITICAL
4,Krishna Kumar,krishna_tpt-002_0,33,Ramana Kumar,"D.No 25-1, Near Junction, Doravari Satram, Tirupati District",TPT-002/2026/130,Doravari Satram,2026-01-10,Sec. 27 of NDPS Act,179,CRITICAL
5,Koti Patnaik,koti_tpt-007_0,23,Bhaskar Patnaik,"D.No 30-1, Near Junction, Tada, Tirupati District",TPT-007/2026/140,Tada,2026-01-10,Sec. 27 of NDPS Act,179,CRITICAL
6,Rajesh Chakravarthy,rajesh_tpt-012_0,58,Kiran Chakravarthy,"D.No 35-1, Near Junction, Vakadu, Tirupati District",TPT-012/2026/150,Vakadu,2026-01-10,Sec. 27 of NDPS Act,179,CRITICAL
7,Nagaraju Gowd,nagaraju_tpt-017_0,48,Siva Gowd,"D.No 40-1, Near Junction, Thotambedu, Tirupati District",TPT-017/2026/160,Thotambedu,2026-01-10,Sec. 27 of NDPS Act,179,CRITICAL
8,Gangadhar Choudhary,gangadhar_tpt-022_0,38,Sekhar Choudhary,"D.No 45-1, Near Junction, Penagalur, Tirupati District",TPT-022/2026/170,Penagalur,2026-01-10,Sec. 27 of NDPS Act,179,CRITICAL
9,Satish Singh,satish_tpt-028_0,28,Chandra Singh,"D.No 50-1, Near Junction, Pitchatoor, Tirupati District",TPT-028/2026/180,Pitchatoor,2026-01-10,Sec. 27 of NDPS Act,179,CRITICAL
10,Chaitu Reddy,chaitu_tpt-033_0,18,Vamsi Reddy,"D.No 55-1, Near Junction, Vardaiahpalem, Tirupati District",TPT-033/2026/190,Vardaiahpalem,2026-01-10,Sec. 27 of NDPS Act,179,CRITICAL
11,Bhaskar Swamy,bhaskar_tpt-038_0,53,Sudhakar Swamy,"D.No 60-1, Near Junction, Pakala UPS, Tirupati District",TPT-038/2026/200,Pakala UPS,2026-01-10,Sec. 27 of NDPS Act,179,CRITICAL
12,Ravindra Sastry,ravindra_tpt-045_0,43,Babji Sastry,"D.No 65-1, Near Junction, Tirumala I Town, Tirupati District",TPT-045/2026/210,Tirumala I Town,2026-01-10,Sec. 27 of NDPS Act,179,CRITICAL
13,Naresh Naidu,naresh_ex-tpt-r_0,33,Gangadhar Naidu,"D.No 70-1, Near Junction, Excise PS Tirupati Rural, Tirupati District",EX-TPT-R/2026/220,Excise PS Tirupati Rural,2026-01-10,Sec. 27 of NDPS Act,179,CRITICAL
14,Prakash Varma,prakash_tp-east_1,45,Kalyan Varma,"D.No 12-2, Near Junction, Tirupathi East, Tirupati District",TP-EAST/2026/105,Tirupathi East,2026-03-11,Sec. 8(c) r/w 20(b)(ii)(B) of NDPS Act,119,CRITICAL
15,Balaji Pratap,balaji_ex-vkd_1,25,Jaya Pratap,"D.No 22-2, Near Junction, Excise PS VKD, Tirupati District",EX-VKD/2026/125,Excise PS VKD,2026-03-11,Sec. 8(c) r/w 20(b)(ii)(B) of NDPS Act,119,CRITICAL
16,Babji Prasad,babji_tpt-009_1,50,Lokesh Prasad,"D.No 32-2, Near Junction, Venkatagiri, Tirupati District",TPT-009/2026/145,Venkatagiri,2026-03-11,Sec. 8(c) r/w 20(b)(ii)(B) of NDPS Act,119,CRITICAL
17,Kalyan Nayak,kalyan_tpt-019_1,30,Anand Nayak,"D.No 42-2, Near Junction, Yerpedu UPS, Tirupati District",TPT-019/2026/165,Yerpedu UPS,2026-03-11,Sec. 8(c) r/w 20(b)(ii)(B) of NDPS Act,119,CRITICAL
18,Ravi Kumar,ravi_tpt-030_1,55,Raju Kumar,"D.No 52-2, Near Junction, Vadamalpet, Tirupati District",TPT-030/2026/185,Vadamalpet,2026-03-11,Sec. 8(c) r/w 20(b)(ii)(B) of NDPS Act,119,CRITICAL
19,Hari Chakravarthy,hari_tpt-040_1,35,Ravi Chakravarthy,"D.No 62-2, Near Junction, Yerravaripalem, Tirupati District",TPT-040/2026/205,Yerravaripalem,2026-03-11,Sec. 8(c) r/w 20(b)(ii)(B) of NDPS Act,119,CRITICAL
20,Kiran Choudhary,kiran_ex-ptr_1,60,Konda Choudhary,"D.No 72-2, Near Junction, Excise PS PTR, Tirupati District",EX-PTR/2026/225,Excise PS PTR,2026-03-11,Sec. 8(c) r/w 20(b)(ii)(B) of NDPS Act,119,CRITICAL
